id,label,popularity,type,main_continent
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,97.0,Artist,North America
1jiZvw42D4oquLl24x2VWV,Lefty Gunplay,76.0,Artist,North America
7tYKF4w9nC0nq9CsPZTHyP,SZA,92.0,Artist,Asia
4VHa48wXlsDA2vWfgIi7cX,Dody6,72.0,Artist,North America
6cUpFVxDYWed9WxtC4QgC5,Wallie the Sensei,72.0,Artist,North America
7J5UWTbsUFjoSQZQCQCqbQ,Siete7x,72.0,Artist,North America
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,80.0,Artist,North America
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,91.0,Artist,Europe
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",94.0,Artist,North America
2qoQgPAilErOKCwE2Y8wOG,GloRilla,83.0,Artist,North America
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,82.0,Artist,North America
55Aa2cqylxrFIXC767Z865,Lil Wayne,89.0,Artist,North America
6fqjJNsLs7g6F3PXy01Xnw,AzChike,71.0,Artist,North America
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,92.0,Artist,Europe
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,96.0,Artist,Asia
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,82.0,Artist,Europe
50DchbKTiJU56SYmIRSJCI,Hitta J3,69.0,Artist,North America
1q2nUylEqrRJkiDkXa39Mw,YoungThreat,69.0,Artist,North America
27OdVby2oeFjM1C5XvC3hC,Peysoh,70.0,Artist,North America
3eVa5w3URK5duf6eyVDbu9,ROSÉ,86.0,Artist,Oceania
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,96.0,Artist,Europe
67FB4n52MgexGQIG8s0yUH,Lola Young,77.0,Artist,North America
1oSPZhvZMIrWW5I41kPkkY,Jimin,88.0,Artist,Europe
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96.0,Artist,Europe
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,90.0,Artist,Oceania
46UMQ0cW8ToR8egkBRwAxZ,Cynthia Erivo,78.0,Artist,North America
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,95.0,Artist,North America
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,94.0,Artist,Asia
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,77.0,Artist,North America
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,85.0,Artist,Europe
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,88.0,Artist,North America
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,87.0,Artist,Asia
38EmEgXkgK51MT2tPY0EoC,Bobby Helms,75.0,Artist,North America
5lpH0xAS4fVfLkACg9DAuM,Wham!,79.0,Artist,Europe
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,80.0,Artist,Oceania
246dkjvS1zLTtiykXe5h60,Post Malone,91.0,Artist,Oceania
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,90.0,Artist,North America
5j4HeCoUlzhfWtjAfM1acR,Stromae,80.0,Artist,North America
6e3pZKXUxrPfnUPJ960Hd9,Pomme,78.0,Artist,North America
57nPqD7z62gDdq37US9XJR,Arcane,85.0,Artist,North America
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,85.0,Artist,Oceania
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,87.0,Artist,Europe
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,88.0,Artist,North America
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,91.0,Artist,North America
22wbnEMDvgVIAGdFeek6ET,Benson Boone,86.0,Artist,Oceania
2sSGPbdZJkaSE2AbcGOACx,The Marías,80.0,Artist,Asia
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,86.0,Artist,Europe
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,86.0,Artist,Oceania
78F6Xkd46aMHkr4AP60TXY,Clarent,71.0,Artist,Europe
3E12tRURRvPfHz0hAMCFYc,Omar Courtz,81.0,Artist,South America
54seKvtsZauR1iauN0ptpo,De La Rose,79.0,Artist,South America
30Ml7nTMkXYyb0UoLwtmCc,Los Diozes,62.0,Artist,Europe
7iK8PXO48WeuP03g8YR51W,Myke Towers,90.0,Artist,Europe
5CiGnKThu5ctn9pBxv7DGa,benny blanco,79.0,Artist,Europe
0CVOcYvRcSvOXyuR4YGKaC,Dani Fernández,69.0,Artist,Europe
2tmrdVbpFzIVIOcqxvErj2,Los Sufridos,62.0,Artist,Europe
4F4pp8NUW08JuXwnoxglpN,Bad Gyal,75.0,Artist,Europe
0EmeFodog0BfCgMzAIvKQp,Shakira,88.0,Artist,Europe
37S0GFsBW73uqxGXNFeADJ,Ghost Killer Track,61.0,Artist,Europe
0VZrPa7mWAYXH4CwmYk8Km,Kidd Keo,72.0,Artist,Europe
0FwnPHExlRRxEZPLAi5tmG,JC Reyes,76.0,Artist,Europe
4RWJOoYwgF978LOn8Fainp,Yami Safdie,71.0,Artist,Europe
3SCOuAxngTC1yGjKMcIPEd,Lasso,72.0,Artist,Europe
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,84.0,Artist,Europe
3UTF2no3muGdiFXVujl94i,Kapo,81.0,Artist,Europe
5qPeAT4ikl6gJNUexAOEy0,Oques Grasses,61.0,Artist,Europe
6TKygPpVT29oGUogu4J9Ec,Yan Block,78.0,Artist,Europe
34PYzJSu4DHKEyhdBfsn0E,TORRRES,63.0,Artist,Europe
22dFwJoRBV51ue5TGnC7Dt,Beny Jr,77.0,Artist,Europe
2NeFajzkAQ4UfviWdzf0pK,Marta Santos,66.0,Artist,Europe
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,93.0,Artist,Europe
1XSmez9xyCCPpOZp0uImwM,Rita Payés,56.0,Artist,Europe
6B1hSmaLdOvChinK2Z7gfi,Maisak,72.0,Artist,South America
2LRoIwlKmHjgvigdNGBHNo,Feid,92.0,Artist,South America
6k8mwkKJKKjBILo7ypBspl,Ana Mena,69.0,Artist,Europe
0AqlFI0tz2DsEoJlKSIiT9,Emilia,81.0,Artist,South America
790FomKkXshlbRYZFtlgla,KAROL G,91.0,Artist,South America
0ZHPrnImGh4re3TbSNkoZl,Beret,71.0,Artist,Europe
4az97MtWmBQ5Db3GfDh9j9,Morad,80.0,Artist,Europe
2CCgb0KApjfQDuTppovpf8,Rvfv,75.0,Artist,Europe
5C4PDR4LnhZTbVnKWXuDKD,Morat,83.0,Artist,Central America
5PlfkPxwCpRRWQJBxCa0By,HUGEL,78.0,Artist,Europe
0u6GtibW46tFX7koQ6uNJZ,Topic,77.0,Artist,Europe
7hQmAXAzWI6D350VTgkKTG,Arash,72.0,Artist,Europe
1IFAU4mznUcfPVP9z2c24N,Daecolm,71.0,Artist,Europe
2enhM5DK9oTxWiCVpFIDv3,Figa Flawas,61.0,Artist,Europe
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,87.0,Artist,South America
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,86.0,Artist,Europe
6nVcHLIgY5pE2YCl8ubca1,JHAYCO,84.0,Artist,Europe
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,78.0,Artist,Europe
4BnXLYKwUhFGUmYE5mPNox,Las 2K,55.0,Artist,Europe
6mQDo8xYI31LFjmhIsZEWg,Chardo Chardemio,55.0,Artist,Europe
3QqpGThGBmUjiYeF8biKlM,Melody Records International,55.0,Artist,Europe
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,90.0,Artist,Europe
1x8mAhfvCw7JXRX7Ild0lF,Hey Kid,57.0,Artist,Europe
6i0h6wBrfNkdf3eTUoelpP,Malmö 040,58.0,Artist,Europe
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,81.0,Artist,Europe
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,80.0,Artist,Europe
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,80.0,Artist,South America
7FNnA9vBm6EKceENgCGRMb,Anitta,83.0,Artist,Europe
1JbemQ1fPt2YmSLjAFhPBv,Chayanne,77.0,Artist,Europe
60ZOYUFnCYEeKYsxgvPxOS,Cano,71.0,Artist,Europe
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,71.0,Artist,Europe
1bAftSH8umNcGZ0uyV7LMg,Duki,86.0,Artist,South America
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,91.0,Artist,Oceania
6eXZu6O7nAUA5z6vLV8NKI,Little Simz,71.0,Artist,Europe
3wcj11K77LjEY1PkEazffa,Burna Boy,80.0,Artist,Europe
0jIWKlfmD4Ew7HeVVrq03g,Elyanna,71.0,Artist,Europe
7vXDAI8JwjW531ouMGbfcp,TINI,79.0,Artist,Europe
2V9MnjEMqwXm7sice07NQK,Diegote,57.0,Artist,Europe
4kcQWQDK0u9AftVSpdrAgk,Luck Ra,77.0,Artist,South America
5TP8Ubo4jLKEi4Mw2O8fAk,BM,70.0,Artist,South America
2OhUNb01gLwygOizYvTm0e,Big One,75.0,Artist,South America
2BTS8Np1YzPQuXjgdlqsBB,Emanero,71.0,Artist,South America
55ru5B05MMBunM1tvH7Di6,Valentino Merlo,74.0,Artist,South America
1FxPMQ9A0882eNDx3ZkD6B,La T y La M,71.0,Artist,South America
6Gsh7oJoJ5EQUuQk0EhfWL,Malandro,63.0,Artist,South America
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,82.0,Artist,South America
0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,79.0,Artist,South America
06Q5VlSAku57lFzyME3HrM,Ke Personajes,78.0,Artist,South America
4oZolC0sCwCAKqsNXfRlVS,The La Planta,73.0,Artist,South America
7yIp2QRLkQ6loIrupimiri,Pinky SD,78.0,Artist,South America
2Mt2vBBEckrvXtg0JldwZ0,Un Poco de Ruido,78.0,Artist,South America
5Qv1EsPany9Fc3yyCJnoxw,Uriel Lozano,71.0,Artist,South America
6HTUcOExehqydqa7C3usAa,Abel Pintos,70.0,Artist,South America
60XHOAhvEBiV6BGBOv8ClM,La Joaqui,73.0,Artist,South America
19HM5j0ULGSmEoRcrSe5x3,Milo j,83.0,Artist,South America
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,80.0,Artist,South America
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,79.0,Artist,South America
2Jb9jVnCpWkXtoGznFJ6bF,ECKO,66.0,Artist,South America
6QVEWdYtBkaJcboEtH5FeB,Los Turros,59.0,Artist,South America
2eXWodjj5K1vVq2CSjl036,DobleP,68.0,Artist,South America
1NtRGHzfJ8H7dENIXu1tdk,Cristian Di Marco,63.0,Artist,South America
04XdCDDrPnnqidaVBTOQjt,Hernan y La Champion's Liga,60.0,Artist,South America
6GRwwWAtmusrgAL5JF9Dfr,Callejero Fino,67.0,Artist,South America
7dlkBH23ERFXxuNoMHq94Y,Q' Lokura,75.0,Artist,South America
1QZuAtDYNrk2QMogJulsyq,Karina,66.0,Artist,South America
6iYRN5eaz8LSxvwkhmwkRj,j mena,60.0,Artist,South America
6LZA6PhNCwUfHzqfpN1nYL,Angela Torres,61.0,Artist,South America
7jAs1uPnpfNmT6e5qtEPxq,ATL Jacob,74.0,Artist,South America
3WMlRpW5JWuDI95TcEWt3r,Salastkbron,69.0,Artist,South America
5xIOUIBQhGFX7HIj8lhdyU,Omar Varela,71.0,Artist,South America
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,79.0,Artist,South America
1H6X7yhnXZg73f9bssaj1Q,Judeline,70.0,Artist,South America
716NhGYqD1jl2wI1Qkgq36,Bizarrap,82.0,Artist,South America
4m6ubhNsdwF4psNf3R8kwR,KHEA,78.0,Artist,South America
7rFHoDuiSlV0DGHxckjm89,Lia Kali,68.0,Artist,South America
7CvTknweLr9feJtRGrpDBy,FloyyMenor,84.0,Artist,South America
2qWK8K2Jfh67UqtwY8tCW6,YSY A,77.0,Artist,South America
7fT2Me47PQ8T7954PKrcwR,Bhavi,70.0,Artist,South America
5Zk54wioCsUtq5ggUWXqlK,Tuti DJ,54.0,Artist,South America
0sE8WmITfzXJwYGdtbo8B0,Pereiraremix,57.0,Artist,South America
6UCQYrcJ6wab6gnQ89OJFh,Headie One,68.0,Artist,South America
6uzHLlGqFKaXYOnZyYmXYg,LOUKI,72.0,Artist,South America
0pelomsVlROuivdE2RgeDU,El Mago Y La Nueva,64.0,Artist,South America
7Ez6lTtSMjMf2YSYpukP1I,Dasha,76.0,Artist,Oceania
2FXC3k01G6Gw61bmprjgqS,Hozier,86.0,Artist,Oceania
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,83.0,Artist,Oceania
3bO19AOone0ubCsfDXDtYt,Myles Smith,80.0,Artist,Oceania
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,90.0,Artist,North America
70kkdajctXSbqSMJbQO424,Kacey Musgraves,77.0,Artist,Oceania
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,77.0,Artist,Oceania
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,94.0,Artist,Europe
0C0XlULifJtAgn6ZNCW2eu,The Killers,79.0,Artist,Oceania
6kbR2eL4hecj3rFwGOsYsI,BL3SS,71.0,Artist,Oceania
20rKUmFZsfv9GBXiv6R9d6,CamrinWatsin,71.0,Artist,Oceania
2UNjfzEkfsdWVDwnuD6vdH,bbyclose,71.0,Artist,Oceania
4j96cMcT8GRi11qbvo1cLQ,Michael Marcagi,73.0,Artist,Oceania
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,83.0,Artist,Oceania
10exVja0key0uqUkk6LJRT,Vance Joy,78.0,Artist,Oceania
25uiPmTg16RbhZWAqwLBy5,Charli xcx,87.0,Artist,Oceania
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100.0,Artist,Oceania
4gvjmrtzydbMpyJaXUtwvP,Addison Rae,76.0,Artist,Oceania
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,78.0,Artist,Oceania
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,79.0,Artist,Oceania
2kS9NyuATpYwjeB93h24H5,Nina Chuba,73.0,Artist,Europe
1E8mXBWN7AXZCOPYbOky4J,Jazeek,74.0,Artist,Europe
7rBed6Ya7Hwa2fXbh5btJE,LACAZETTE,73.0,Artist,Europe
3CJKkU0XuElRT1z8rEtIYg,Luciano,76.0,Artist,Europe
76dRoxKtDwYkgCQePok9cU,Miksu / Macloud,70.0,Artist,Europe
0JBdTCGs111JKKYfLqOEBa,Shirin David,68.0,Artist,Europe
3drqpTL4sQOckmAfF9i1wg,Summer Cem,69.0,Artist,Europe
72y6W9pGy97xTM44dwy3F6,BILLA JOE,63.0,Artist,Europe
7vohy1W7YNLxHynG44UFjS,Sampagne,64.0,Artist,Europe
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,75.0,Artist,Europe
1SnSPHBs8l5iAvoWF0aO05,FOURTY,63.0,Artist,Europe
13bDjug9N0pyv3ZUINjkDV,Bausa,70.0,Artist,Europe
61vhXXSO0lkbxFvnXHx8QP,CHEKAA,60.0,Artist,Europe
5HK6QtizXJzCmoYTkvFRik,Ndotz,73.0,Artist,Europe
5p7mWeX4RlvqBCxylfiXdE,KC Rebell,65.0,Artist,Europe
11p2E654TTU8e0nZWBR4AL,Mark Ambor,76.0,Artist,Europe
0eVixEZVW2PB1UogwTWXc1,Berq,70.0,Artist,Europe
0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens,68.0,Artist,Europe
0rvjqX7ttXeg3mTy8Xscbt,Journey,76.0,Artist,Europe
5WUlDfRSoLAfcVSX1WnrxN,Sia,87.0,Artist,Europe
1fImPZoBVjmYrBFzCHh0N3,Souly,69.0,Artist,Europe
11kt6ggsdxvI8MhyeSMKom,CYRIL,80.0,Artist,Europe
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,80.0,Artist,Europe
5ByAEWetNZ95GufzBSOkc3,fallen777angel,61.0,Artist,Europe
3JsHnjpbhX4SnySpvpa9DK,V,84.0,Artist,Asia
0xByDfltDVpk6LDsUMHyI2,Poshlaya Molly,66.0,Artist,Europe
4anb8rmk0xipuQP6QZ5IlH,FORTUNA 812,60.0,Artist,Europe
5xtbUYHaOycg6HIi10EZdV,FRIENDLY THUG 52 NGG,64.0,Artist,Europe
0TO6y1x0LQodwBnxGtQu9o,shadowraze,58.0,Artist,Europe
5NMwoStnfHT4LdETlJSwDT,Big Baby Tape,65.0,Artist,Europe
4jIvmo6hfAQ04NSOWPVVA3,кис-кис,52.0,Artist,Europe
5B5qmrbTFvA7TAxWruuwbo,Aarne,63.0,Artist,Europe
2hTmpvdwhpNZryOkwTisRW,Toxi$,61.0,Artist,Europe
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,87.0,Artist,Asia
3MdXrJWsbVzdn6fe5JYkSQ,Latto,80.0,Artist,Europe
0qyv7OappGDi0OyJxcqpVt,KRISTIEE,53.0,Artist,Europe
5GTZUVrKf86Aco9LJQquxc,mapt0v,61.0,Artist,Europe
0oSMgGNMeXe3HJAXEJrqL8,YungMeechy,44.0,Artist,Europe
260kWe4y9lg7YFDsZBgsLv,zhanulka,55.0,Artist,Europe
6Tv4ZrZbgUMcXAMv0d1VQM,fleurnothappy,55.0,Artist,Europe
1jUPTaRiy2sOdOhvIEUosG,ENINA,52.0,Artist,Europe
2z20q6EEfm6w6PiIKsgtb3,FACE,64.0,Artist,Europe
0yp6xP5xe1qarfugfTixOK,Monetochka,59.0,Artist,Europe
0Kwx9LPnkelacgHzRI8vxl,Jakone,60.0,Artist,Europe
1EDrjPOlEjmbzjbet1DxTN,Kiliana,54.0,Artist,Europe
0E56Ncr2I37JQhW71UJALE,KRBK,62.0,Artist,Europe
6oiinpr7kwRmyWKVDTZgRT,AP$ENT,51.0,Artist,Europe
27kGBCjiz5OXojkKX4xQ6R,BUSHIDO ZHO,61.0,Artist,Europe
4h8pGxEIOi7j4me1yhYxlD,LSP,60.0,Artist,Europe
7K2PBAFUE98RKu30clhIms,Violetta Sokolova,48.0,Artist,Europe
3vvLuXEEf7sl3izJcw0GIn,Skryptonite,64.0,Artist,Europe
0P9E2MHee0cXNpIeAvFAt1,БРЕДИШЬ,50.0,Artist,Europe
6oTirjGdJPFt3hycC1Rfxb,Xolidayboy,52.0,Artist,Europe
0XNKQFs2Ewb3y0VsFUFc5l,MORGENSHTERN,60.0,Artist,Europe
56wiPFJN2Z1PG1N8hGNYaD,mzlff,58.0,Artist,Europe
0hAEtx2GQLtMTJj8qycHRr,xxxmanera,55.0,Artist,Europe
4uWhcZCwuPopf6JGvwsN2B,ANIKV,52.0,Artist,Europe
0ChMIwzbYxHbebgoPeETfV,Lida,57.0,Artist,Europe
5IS4dQ9lDW01IY1buR7bW7,СЕРЕГА ПИРАТ,59.0,Artist,Europe
7bI1v9NGBBhq8iGfytctni,Squirrel Flower,48.0,Artist,Europe
1nnaE1FllcW0TlDdPVmdPg,Scally Milano,58.0,Artist,Europe
3I9Bd4StaxvFWPG9AAjlrO,uglystephan,55.0,Artist,Europe
6iQqWcDg92kre5ykFLwqD8,Дайте танк (!),59.0,Artist,Europe
0GOx72r5AAEKRGQFn3xqXK,GIMS,80.0,Artist,Europe
1cKyknhftNKXCjMBd2hDrG,DYSTINCT,72.0,Artist,Europe
0LKAV3zJ8a8AIGnyc5OvfB,SDM,79.0,Artist,Europe
2loEsOijJ6XiGzWYFXMIRk,Adam Port,77.0,Artist,Europe
6XjgqvaVLUib6lCerbZrYD,Stryv,75.0,Artist,Europe
26WKgv73kRHD0gEDKD1i8j,Keinemusik,78.0,Artist,Europe
2yyaNPcdxZcn4iutCcLMaC,Orso,75.0,Artist,Europe
37lTKHi901VnwngQ7C8noT,Malachiii,75.0,Artist,Europe
3IW7ScrzXmPvZhB27hmfgy,Jul,82.0,Artist,Europe
3hWQDRr1PqwvnHeiZlucBq,Bouss,73.0,Artist,Europe
3zGV7t4BDmYZBLVA24487b,Pommelien Thijs,59.0,Artist,Europe
2F3Mdh2idBVOiMTxXoxc10,MEAU,60.0,Artist,Europe
0UF7XLthtbSF2Eur7559oV,Kavinsky,67.0,Artist,Europe
3QVolfxko2UyCOtexhVTli,Angèle,70.0,Artist,Europe
1xU878Z1QtBldR7ru9owdU,Phoenix,68.0,Artist,Europe
5oNWzcU0mYK1zDUxBGHIaG,Hannah Mae,62.0,Artist,Europe
5ncHUtKhiVsHlugFN0DCDl,MAKSIM,57.0,Artist,Europe
5MraexJKZDrQYzS98kNwie,Sevdaliza,76.0,Artist,Europe
6tzRZ39aZlNqlUzQlkuhDV,Pabllo Vittar,75.0,Artist,Europe
1QsdzIKkTT5gDFj8GB1cIX,Yseult,74.0,Artist,Europe
3TOqt5oJwL9BE2NG9MEwDa,Disturbed,77.0,Artist,Europe
5wCmhq5J2hPwL2r0eKurxn,cassö,70.0,Artist,Europe
5KKpBU5eC2tJDzf0wmlRp2,RAYE,80.0,Artist,Europe
5VadK1havLhK1OpKYsXv9y,D-Block Europe,76.0,Artist,Europe
07h4CCFmlXkwx0g4PL5Uuh,Guy2Bezbar,66.0,Artist,Europe
5eDdy8QxB47JsLASK2FI1m,Noano,58.0,Artist,Europe
5eir5zFJpES4j7gsymbVyl,Ronnie Flex,70.0,Artist,Europe
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,78.0,Artist,Europe
5mZJerulcERBZV7xnhrVp1,Ryan Lewis,72.0,Artist,Europe
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,73.0,Artist,Europe
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,75.0,Artist,Europe
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,78.0,Artist,Europe
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,77.0,Artist,Europe
60df5JBRRPcnSpsIMxxwQm,Otis Redding,74.0,Artist,Europe
11oaKJc8rsz6x8YPVjca4X,Engel Montaz,72.0,Artist,Central America
0kwa5ELbi8xm7vbwywoLtg,Kuv507,64.0,Artist,Central America
0c0Yh1P4gMYmDwebhyzIDv,Latinnites Music,65.0,Artist,Central America
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,87.0,Artist,South America
5JMJt80HJWR1e4hMw63Z5t,Luis Vega,53.0,Artist,South America
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,84.0,Artist,South America
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,82.0,Artist,South America
1r4hJ1h58CWwUQe3MxPuau,Maluma,88.0,Artist,South America
66ihevNkSYNzRAl44dx6jJ,Carin Leon,87.0,Artist,Central America
6ndLrsgT3MV5CNxIrW71fw,DFZM,72.0,Artist,South America
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,88.0,Artist,South America
7j6DKwmjbxvpQO8h914uEz,Ryan Castro,82.0,Artist,South America
4q3ewBCX7sLwd24euuV69X,Bad Bunny,96.0,Artist,Central America
1fctva4kpRbg2k3v7kwRuS,Rvssian,75.0,Artist,South America
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,94.0,Artist,South America
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,78.0,Artist,South America
1dKdetem2xEmjgvyymzytS,Grupo Firme,82.0,Artist,South America
0dUyjgCyjfj5eMx6bX2TWf,FMK,69.0,Artist,South America
