Source,Target
2YZyLoL8N0Wb9xBt1NhZWg,rap
2YZyLoL8N0Wb9xBt1NhZWg,hip hop
7tYKF4w9nC0nq9CsPZTHyP,rap
7tYKF4w9nC0nq9CsPZTHyP,pop
7tYKF4w9nC0nq9CsPZTHyP,r&b
6cUpFVxDYWed9WxtC4QgC5,rap
757aE44tKEUQEqRuT6GnEB,trap
757aE44tKEUQEqRuT6GnEB,rap
4V8LLVI7PbaPR0K2TGSxFF,rap
4V8LLVI7PbaPR0K2TGSxFF,hip hop
2qoQgPAilErOKCwE2Y8wOG,hip hop
3DbwFQlvLxRSi2uX8mf81A,trap
3DbwFQlvLxRSi2uX8mf81A,rap
55Aa2cqylxrFIXC767Z865,trap
55Aa2cqylxrFIXC767Z865,rap
55Aa2cqylxrFIXC767Z865,pop
55Aa2cqylxrFIXC767Z865,hip hop
6fqjJNsLs7g6F3PXy01Xnw,rap
1HY2Jd0NmPuamShAr6KMms,pop
0du5cEVh5yTK9QJze8zA0C,pop
1iCnM8foFssWlPRLfAbIwo,pop
3eVa5w3URK5duf6eyVDbu9,pop
3eVa5w3URK5duf6eyVDbu9,k-pop
6qqNVTkY8uBg9cP3Jd7DAH,pop
67FB4n52MgexGQIG8s0yUH,pop
1oSPZhvZMIrWW5I41kPkkY,pop
1oSPZhvZMIrWW5I41kPkkY,k-pop
1Xyo4u8uXC1ZmMpatF05PJ,pop
1Xyo4u8uXC1ZmMpatF05PJ,r&b
699OTQXzgjhIYAHMy9RyPD,rap
699OTQXzgjhIYAHMy9RyPD,hip hop
46UMQ0cW8ToR8egkBRwAxZ,pop
66CXWjxzNUsdJxJ2JdwvnR,pop
74KM79TiuVKeVCqs8QtB0B,pop
4cPHsZM98sKzmV26wlwD2W,rock
4iHNK0tOyZPYnBU7nGAgpQ,pop
7GlBOeep6PqTfFi59PTUUN,pop
20wkVLutqVOYrc0kxFs7rA,r&b
5lpH0xAS4fVfLkACg9DAuM,pop
5lpH0xAS4fVfLkACg9DAuM,rock
3y2cIKLjiOlp1Np37WiUdH,rap
3y2cIKLjiOlp1Np37WiUdH,pop
3y2cIKLjiOlp1Np37WiUdH,country
246dkjvS1zLTtiykXe5h60,rap
246dkjvS1zLTtiykXe5h60,pop
4oUHIQIBe0LHzYfvXNW4QM,country
5j4HeCoUlzhfWtjAfM1acR,pop
5j4HeCoUlzhfWtjAfM1acR,house
6e3pZKXUxrPfnUPJ960Hd9,pop
2tIP7SsRs7vjIcLrU85W8J,hip hop
3l9G1G9MxH6DaRhwLklaf5,corrido
0ys2OFYzWYB5hRDLCsBqxt,sierreno
0ys2OFYzWYB5hRDLCsBqxt,corrido
22wbnEMDvgVIAGdFeek6ET,pop
2sSGPbdZJkaSE2AbcGOACx,pop
77SW9BnxLY8rJ0RciFqkHh,pop
77SW9BnxLY8rJ0RciFqkHh,rock
2RQXRUsr4IW1f3mKyKsy4B,pop
78F6Xkd46aMHkr4AP60TXY,trap
78F6Xkd46aMHkr4AP60TXY,rap
3E12tRURRvPfHz0hAMCFYc,trap
3E12tRURRvPfHz0hAMCFYc,rap
3E12tRURRvPfHz0hAMCFYc,urbano latino
54seKvtsZauR1iauN0ptpo,trap
54seKvtsZauR1iauN0ptpo,rap
54seKvtsZauR1iauN0ptpo,urbano latino
7iK8PXO48WeuP03g8YR51W,trap
7iK8PXO48WeuP03g8YR51W,rap
7iK8PXO48WeuP03g8YR51W,urbano latino
5CiGnKThu5ctn9pBxv7DGa,pop
0CVOcYvRcSvOXyuR4YGKaC,pop
4F4pp8NUW08JuXwnoxglpN,trap
4F4pp8NUW08JuXwnoxglpN,rap
4F4pp8NUW08JuXwnoxglpN,urbano latino
0EmeFodog0BfCgMzAIvKQp,pop
37S0GFsBW73uqxGXNFeADJ,rap
0VZrPa7mWAYXH4CwmYk8Km,trap
0VZrPa7mWAYXH4CwmYk8Km,rap
0VZrPa7mWAYXH4CwmYk8Km,urbano latino
0VZrPa7mWAYXH4CwmYk8Km,drill
3SCOuAxngTC1yGjKMcIPEd,pop
0tmwSHipWxN12fsoLcFU3B,trap
0tmwSHipWxN12fsoLcFU3B,rap
0tmwSHipWxN12fsoLcFU3B,pop
0tmwSHipWxN12fsoLcFU3B,urbano latino
5qPeAT4ikl6gJNUexAOEy0,rock
6TKygPpVT29oGUogu4J9Ec,trap
6TKygPpVT29oGUogu4J9Ec,rap
6TKygPpVT29oGUogu4J9Ec,urbano latino
22dFwJoRBV51ue5TGnC7Dt,drill
2NeFajzkAQ4UfviWdzf0pK,pop
6XyY86QOPPrYVGvF9ch6wz,rap
6XyY86QOPPrYVGvF9ch6wz,rock
2LRoIwlKmHjgvigdNGBHNo,trap
2LRoIwlKmHjgvigdNGBHNo,rap
2LRoIwlKmHjgvigdNGBHNo,pop
2LRoIwlKmHjgvigdNGBHNo,urbano latino
6k8mwkKJKKjBILo7ypBspl,pop
0AqlFI0tz2DsEoJlKSIiT9,pop
790FomKkXshlbRYZFtlgla,urbano latino
0ZHPrnImGh4re3TbSNkoZl,pop
0ZHPrnImGh4re3TbSNkoZl,hip hop
4az97MtWmBQ5Db3GfDh9j9,drill
2CCgb0KApjfQDuTppovpf8,urbano latino
2CCgb0KApjfQDuTppovpf8,drill
5C4PDR4LnhZTbVnKWXuDKD,pop
5PlfkPxwCpRRWQJBxCa0By,house
0u6GtibW46tFX7koQ6uNJZ,pop
7hQmAXAzWI6D350VTgkKTG,pop
1Yj5Xey7kTwvZla8sqdsdE,trap
1Yj5Xey7kTwvZla8sqdsdE,rap
1Yj5Xey7kTwvZla8sqdsdE,urbano latino
1U1el3k54VvEUzo3ybLPlM,pop
6nVcHLIgY5pE2YCl8ubca1,trap
6nVcHLIgY5pE2YCl8ubca1,rap
6nVcHLIgY5pE2YCl8ubca1,urbano latino
0WwSkZ7LtFUFjGjMZBMt6T,rock
4AK6F7OLvEQ5QYCBNiQWHq,pop
7f5Zgnp2spUuuzKplmRkt7,pop
7f5Zgnp2spUuuzKplmRkt7,house
2txHhyCwHjUEpJjWrEyqyX,pop
5Y3MV9DZ0d87NnVm56qSY1,trap
5Y3MV9DZ0d87NnVm56qSY1,rap
5Y3MV9DZ0d87NnVm56qSY1,urbano latino
7FNnA9vBm6EKceENgCGRMb,pop
7FNnA9vBm6EKceENgCGRMb,funk
1JbemQ1fPt2YmSLjAFhPBv,pop
60ZOYUFnCYEeKYsxgvPxOS,rap
3rIZMv9rysU7JkLzEaC5Jp,pop
3rIZMv9rysU7JkLzEaC5Jp,rock
1bAftSH8umNcGZ0uyV7LMg,trap
1bAftSH8umNcGZ0uyV7LMg,rap
1bAftSH8umNcGZ0uyV7LMg,hip hop
1bAftSH8umNcGZ0uyV7LMg,urbano latino
4gzpq5DPGxSnKTe4SA8HAU,pop
6eXZu6O7nAUA5z6vLV8NKI,trap
6eXZu6O7nAUA5z6vLV8NKI,rap
6eXZu6O7nAUA5z6vLV8NKI,r&b
3wcj11K77LjEY1PkEazffa,pop
3wcj11K77LjEY1PkEazffa,hip hop
0jIWKlfmD4Ew7HeVVrq03g,pop
7vXDAI8JwjW531ouMGbfcp,pop
4kcQWQDK0u9AftVSpdrAgk,trap
4kcQWQDK0u9AftVSpdrAgk,rap
2OhUNb01gLwygOizYvTm0e,trap
2OhUNb01gLwygOizYvTm0e,rap
2BTS8Np1YzPQuXjgdlqsBB,rap
2BTS8Np1YzPQuXjgdlqsBB,hip hop
1FxPMQ9A0882eNDx3ZkD6B,pop
1FxPMQ9A0882eNDx3ZkD6B,cumbia
6Gsh7oJoJ5EQUuQk0EhfWL,rap
1DxLCyH42yaHKGK3cl5bvG,pop
1DxLCyH42yaHKGK3cl5bvG,urbano latino
0ZCO8oVkMj897cKgFH7fRW,cumbia
06Q5VlSAku57lFzyME3HrM,pop
06Q5VlSAku57lFzyME3HrM,cumbia
4oZolC0sCwCAKqsNXfRlVS,pop
4oZolC0sCwCAKqsNXfRlVS,cumbia
7yIp2QRLkQ6loIrupimiri,pop
7yIp2QRLkQ6loIrupimiri,cumbia
5Qv1EsPany9Fc3yyCJnoxw,cumbia
6HTUcOExehqydqa7C3usAa,pop
60XHOAhvEBiV6BGBOv8ClM,rap
60XHOAhvEBiV6BGBOv8ClM,hip hop
19HM5j0ULGSmEoRcrSe5x3,trap
19HM5j0ULGSmEoRcrSe5x3,rap
19HM5j0ULGSmEoRcrSe5x3,urbano latino
2UZIAOlrnyZmyzt1nuXr9y,trap
2UZIAOlrnyZmyzt1nuXr9y,rap
2UZIAOlrnyZmyzt1nuXr9y,hip hop
2UZIAOlrnyZmyzt1nuXr9y,urbano latino
2UZIAOlrnyZmyzt1nuXr9y,r&b
3vQ0GE3mI0dAaxIMYe5g7z,trap
3vQ0GE3mI0dAaxIMYe5g7z,rap
3vQ0GE3mI0dAaxIMYe5g7z,hip hop
3vQ0GE3mI0dAaxIMYe5g7z,urbano latino
2Jb9jVnCpWkXtoGznFJ6bF,trap
2Jb9jVnCpWkXtoGznFJ6bF,rap
2Jb9jVnCpWkXtoGznFJ6bF,hip hop
6QVEWdYtBkaJcboEtH5FeB,pop
6QVEWdYtBkaJcboEtH5FeB,cumbia
04XdCDDrPnnqidaVBTOQjt,pop
04XdCDDrPnnqidaVBTOQjt,cumbia
1QZuAtDYNrk2QMogJulsyq,pop
1QZuAtDYNrk2QMogJulsyq,cumbia
6iYRN5eaz8LSxvwkhmwkRj,pop
6iYRN5eaz8LSxvwkhmwkRj,cumbia
6LZA6PhNCwUfHzqfpN1nYL,pop
3WMlRpW5JWuDI95TcEWt3r,pop
2x7PC78TmgqpEIjaGAZ0Oz,trap
2x7PC78TmgqpEIjaGAZ0Oz,rap
2x7PC78TmgqpEIjaGAZ0Oz,hip hop
2x7PC78TmgqpEIjaGAZ0Oz,urbano latino
716NhGYqD1jl2wI1Qkgq36,trap
716NhGYqD1jl2wI1Qkgq36,rap
716NhGYqD1jl2wI1Qkgq36,pop
716NhGYqD1jl2wI1Qkgq36,hip hop
716NhGYqD1jl2wI1Qkgq36,urbano latino
4m6ubhNsdwF4psNf3R8kwR,trap
4m6ubhNsdwF4psNf3R8kwR,rap
4m6ubhNsdwF4psNf3R8kwR,hip hop
4m6ubhNsdwF4psNf3R8kwR,urbano latino
2qWK8K2Jfh67UqtwY8tCW6,trap
2qWK8K2Jfh67UqtwY8tCW6,rap
2qWK8K2Jfh67UqtwY8tCW6,hip hop
7fT2Me47PQ8T7954PKrcwR,trap
7fT2Me47PQ8T7954PKrcwR,rap
7fT2Me47PQ8T7954PKrcwR,hip hop
6UCQYrcJ6wab6gnQ89OJFh,hip hop
2FXC3k01G6Gw61bmprjgqS,pop
2FXC3k01G6Gw61bmprjgqS,rock
69GGBxA162lTqCwzJG5jLp,pop
3bO19AOone0ubCsfDXDtYt,pop
40ZNYROS4zLfyyBSs2PGe2,country
70kkdajctXSbqSMJbQO424,country
2sil8z5kiy4r76CRTXxBCA,pop
2sil8z5kiy4r76CRTXxBCA,rock
0Y5tJX1MQlPlqiwlOH1tJY,rap
0Y5tJX1MQlPlqiwlOH1tJY,house
0C0XlULifJtAgn6ZNCW2eu,rock
08GQAI4eElDnROBrJRGE0X,rock
10exVja0key0uqUkk6LJRT,pop
10exVja0key0uqUkk6LJRT,rock
10exVja0key0uqUkk6LJRT,k-pop
25uiPmTg16RbhZWAqwLBy5,pop
06HL4z0CvFAxyc27GXpf02,pop
4gvjmrtzydbMpyJaXUtwvP,pop
1WaFQSHVGZQJTbf0BdxdNo,hip hop
2kS9NyuATpYwjeB93h24H5,pop
2kS9NyuATpYwjeB93h24H5,hip hop
1E8mXBWN7AXZCOPYbOky4J,hip hop
3CJKkU0XuElRT1z8rEtIYg,hip hop
3CJKkU0XuElRT1z8rEtIYg,drill
76dRoxKtDwYkgCQePok9cU,hip hop
0JBdTCGs111JKKYfLqOEBa,rap
0JBdTCGs111JKKYfLqOEBa,pop
0JBdTCGs111JKKYfLqOEBa,hip hop
3drqpTL4sQOckmAfF9i1wg,hip hop
7vohy1W7YNLxHynG44UFjS,hip hop
7o95ZoZt5ZYn31e9z1Hc0a,pop
1SnSPHBs8l5iAvoWF0aO05,trap
1SnSPHBs8l5iAvoWF0aO05,rap
1SnSPHBs8l5iAvoWF0aO05,hip hop
1SnSPHBs8l5iAvoWF0aO05,r&b
13bDjug9N0pyv3ZUINjkDV,hip hop
5HK6QtizXJzCmoYTkvFRik,drill
5p7mWeX4RlvqBCxylfiXdE,hip hop
5p7mWeX4RlvqBCxylfiXdE,drill
11p2E654TTU8e0nZWBR4AL,pop
0wi4yTYlGtEnbGo4ltZTib,pop
0wi4yTYlGtEnbGo4ltZTib,rock
0rvjqX7ttXeg3mTy8Xscbt,rock
5WUlDfRSoLAfcVSX1WnrxN,pop
1fImPZoBVjmYrBFzCHh0N3,hip hop
0xByDfltDVpk6LDsUMHyI2,pop
5xtbUYHaOycg6HIi10EZdV,hip hop
5NMwoStnfHT4LdETlJSwDT,trap
5NMwoStnfHT4LdETlJSwDT,rap
5NMwoStnfHT4LdETlJSwDT,hip hop
4jIvmo6hfAQ04NSOWPVVA3,pop
5B5qmrbTFvA7TAxWruuwbo,rap
5B5qmrbTFvA7TAxWruuwbo,hip hop
2hTmpvdwhpNZryOkwTisRW,hip hop
6HaGTQPmzraVmaVxvz6EUc,pop
6HaGTQPmzraVmaVxvz6EUc,k-pop
3MdXrJWsbVzdn6fe5JYkSQ,trap
3MdXrJWsbVzdn6fe5JYkSQ,rap
260kWe4y9lg7YFDsZBgsLv,pop
2z20q6EEfm6w6PiIKsgtb3,trap
2z20q6EEfm6w6PiIKsgtb3,rap
2z20q6EEfm6w6PiIKsgtb3,hip hop
0yp6xP5xe1qarfugfTixOK,pop
0E56Ncr2I37JQhW71UJALE,rap
0E56Ncr2I37JQhW71UJALE,hip hop
27kGBCjiz5OXojkKX4xQ6R,trap
27kGBCjiz5OXojkKX4xQ6R,rap
27kGBCjiz5OXojkKX4xQ6R,hip hop
27kGBCjiz5OXojkKX4xQ6R,drill
4h8pGxEIOi7j4me1yhYxlD,pop
4h8pGxEIOi7j4me1yhYxlD,hip hop
7K2PBAFUE98RKu30clhIms,pop
3vvLuXEEf7sl3izJcw0GIn,trap
3vvLuXEEf7sl3izJcw0GIn,rap
3vvLuXEEf7sl3izJcw0GIn,hip hop
0XNKQFs2Ewb3y0VsFUFc5l,trap
0XNKQFs2Ewb3y0VsFUFc5l,rap
0XNKQFs2Ewb3y0VsFUFc5l,hip hop
0hAEtx2GQLtMTJj8qycHRr,hip hop
4uWhcZCwuPopf6JGvwsN2B,pop
0ChMIwzbYxHbebgoPeETfV,hip hop
7bI1v9NGBBhq8iGfytctni,country
1nnaE1FllcW0TlDdPVmdPg,hip hop
3I9Bd4StaxvFWPG9AAjlrO,rap
3I9Bd4StaxvFWPG9AAjlrO,hip hop
6iQqWcDg92kre5ykFLwqD8,rock
0GOx72r5AAEKRGQFn3xqXK,rap
0GOx72r5AAEKRGQFn3xqXK,pop
0GOx72r5AAEKRGQFn3xqXK,hip hop
0GOx72r5AAEKRGQFn3xqXK,r&b
1cKyknhftNKXCjMBd2hDrG,rap
1cKyknhftNKXCjMBd2hDrG,hip hop
0LKAV3zJ8a8AIGnyc5OvfB,pop
0LKAV3zJ8a8AIGnyc5OvfB,hip hop
0LKAV3zJ8a8AIGnyc5OvfB,r&b
2loEsOijJ6XiGzWYFXMIRk,house
26WKgv73kRHD0gEDKD1i8j,house
3IW7ScrzXmPvZhB27hmfgy,rap
3IW7ScrzXmPvZhB27hmfgy,pop
3IW7ScrzXmPvZhB27hmfgy,hip hop
2F3Mdh2idBVOiMTxXoxc10,pop
0UF7XLthtbSF2Eur7559oV,house
3QVolfxko2UyCOtexhVTli,pop
1xU878Z1QtBldR7ru9owdU,pop
1xU878Z1QtBldR7ru9owdU,rock
5oNWzcU0mYK1zDUxBGHIaG,pop
5MraexJKZDrQYzS98kNwie,r&b
6tzRZ39aZlNqlUzQlkuhDV,pop
6tzRZ39aZlNqlUzQlkuhDV,funk
1QsdzIKkTT5gDFj8GB1cIX,pop
1QsdzIKkTT5gDFj8GB1cIX,r&b
3TOqt5oJwL9BE2NG9MEwDa,rap
3TOqt5oJwL9BE2NG9MEwDa,rock
5wCmhq5J2hPwL2r0eKurxn,pop
5KKpBU5eC2tJDzf0wmlRp2,pop
5KKpBU5eC2tJDzf0wmlRp2,r&b
5VadK1havLhK1OpKYsXv9y,hip hop
5VadK1havLhK1OpKYsXv9y,drill
07h4CCFmlXkwx0g4PL5Uuh,rap
07h4CCFmlXkwx0g4PL5Uuh,pop
07h4CCFmlXkwx0g4PL5Uuh,hip hop
5eir5zFJpES4j7gsymbVyl,rap
5eir5zFJpES4j7gsymbVyl,pop
5eir5zFJpES4j7gsymbVyl,hip hop
3JhNCzhSMTxs9WLGJJxWOY,rap
3JhNCzhSMTxs9WLGJJxWOY,pop
3JhNCzhSMTxs9WLGJJxWOY,hip hop
5BcAKTbp20cv7tC5VqPFoC,rap
5BcAKTbp20cv7tC5VqPFoC,pop
5BcAKTbp20cv7tC5VqPFoC,hip hop
4e0nWw2r4BoQSKPQ2zpU13,pop
0fTSzq9jAh4c36UVb4V7CB,pop
5JMJt80HJWR1e4hMw63Z5t,pop
1TA5sGRlKUJXBN4ZyJuDIX,urbano latino
3m5qlPf2OkihLz3dRYnkPA,trap
3m5qlPf2OkihLz3dRYnkPA,rap
3m5qlPf2OkihLz3dRYnkPA,pop
3m5qlPf2OkihLz3dRYnkPA,urbano latino
1r4hJ1h58CWwUQe3MxPuau,trap
1r4hJ1h58CWwUQe3MxPuau,rap
1r4hJ1h58CWwUQe3MxPuau,pop
1r4hJ1h58CWwUQe3MxPuau,urbano latino
66ihevNkSYNzRAl44dx6jJ,sierreno
66ihevNkSYNzRAl44dx6jJ,corrido
1vyhD5VmyZ7KMfW5gqLgo5,trap
1vyhD5VmyZ7KMfW5gqLgo5,rap
1vyhD5VmyZ7KMfW5gqLgo5,urbano latino
7j6DKwmjbxvpQO8h914uEz,trap
7j6DKwmjbxvpQO8h914uEz,rap
7j6DKwmjbxvpQO8h914uEz,urbano latino
4q3ewBCX7sLwd24euuV69X,trap
4q3ewBCX7sLwd24euuV69X,rap
4q3ewBCX7sLwd24euuV69X,urbano latino
1fctva4kpRbg2k3v7kwRuS,trap
1fctva4kpRbg2k3v7kwRuS,rap
1fctva4kpRbg2k3v7kwRuS,urbano latino
1mcTU81TzQhprhouKaTkpq,trap
1mcTU81TzQhprhouKaTkpq,rap
1mcTU81TzQhprhouKaTkpq,pop
1mcTU81TzQhprhouKaTkpq,urbano latino
1dKdetem2xEmjgvyymzytS,sierreno
0dUyjgCyjfj5eMx6bX2TWf,trap
0dUyjgCyjfj5eMx6bX2TWf,rap
2jSGzJw0ebJLu7OLVSOcBP,trap
2jSGzJw0ebJLu7OLVSOcBP,rap
2jSGzJw0ebJLu7OLVSOcBP,urbano latino
12GqGscKJx3aE4t07u7eVZ,sierreno
12GqGscKJx3aE4t07u7eVZ,corrido
5szJHKg5xeUlQ9pTqzdpic,trap
5szJHKg5xeUlQ9pTqzdpic,rap
3qsKSpcV3ncke3hw52JSMB,trap
3qsKSpcV3ncke3hw52JSMB,rap
3qsKSpcV3ncke3hw52JSMB,urbano latino
0wdQR6Qd64uSVhNJy7M2F0,pop
6aoGgTKGqtsjj48ymcNs4Z,funk
5Dz2FizMLqV0Cr3c8uhEcF,funk
5InVWl8IZB8zFAoNa5roKm,funk
59jlthNnbmim5l9tmNA7se,pop
5wbf52LA6kcaboHSN6NEF1,funk
0nFdWpwl7h6fp3ADRyG14L,pop
2CKOmarVWvWqkNWUatHCex,pop
0xj9MJx9r0wO2o4aqdergP,funk
7me0S5Z40qVWj3gzyK8aC3,funk
5s27i7oqhNWIcE4HeoVdq0,funk
6XFc29m1ptfUNmaa1UTuBT,funk
75i9GaW2MJUgt4BkdUnuUY,funk
6zGPa2tLMJ5HQYUddZI8di,trap
6zGPa2tLMJ5HQYUddZI8di,rap
6zGPa2tLMJ5HQYUddZI8di,funk
04QHNiih9ZesPvals6II1h,funk
2FDaBZt51fOXh2rbHL8Afr,funk
0JRPF8WIKUtSO2IUYfrcuh,pop
6sW5k31iA8sTy0i2goUKF9,funk
2Z0lRIqr997lIUiPtrpKCr,pop
1LIuN7ov1IBQDdLsU83ojl,pop
41QLxRXlc2NwfJZkHGHKid,pop
1mV9h1AwhRXSjBFcYpajgY,funk
6VyttZwyEMGBl90oGdKCB8,funk
0bg3fNpRQgZTCAg3Bseyly,funk
5ZfBThYiIIhL7jHMG8gDB2,funk
6qrqAYlS6lUj2BVXax7SZW,trap
6qrqAYlS6lUj2BVXax7SZW,rap
6qrqAYlS6lUj2BVXax7SZW,funk
0vLuOi2k62sHujIfplInlK,rap
0vLuOi2k62sHujIfplInlK,hip hop
7gZu6kPnY9enEi5FvgTO4F,pop
7gHzR22tDNSWGS4HkvvPgw,trap
7gHzR22tDNSWGS4HkvvPgw,rap
1SZXYhJz4sqEss888VmWLP,funk
1JJq541frMPfUIQiUoVrnp,funk
0i1s9WcIu0PrUvHzALgofo,rock
6mKwmTMzDrye9elc8JWiw3,funk
3Nipsl6GVwwGyeAk0J29C6,funk
1tKrZaph4cLsnEdqC5BNEQ,pop
5nP8x4uEFjAAmDzwOEc9b8,trap
5nP8x4uEFjAAmDzwOEc9b8,rap
5nP8x4uEFjAAmDzwOEc9b8,r&b
6YzSM19LzpLH0nVKKU6Jsy,funk
2Y3kRJYYun9lDcRMM7ulQg,funk
6m6e7D2TnV0aYMllFFwMxu,pop
7rXMvXRnWHaSwnVvPeUUfw,pop
7rXMvXRnWHaSwnVvPeUUfw,funk
6TYimByryGphZCtwYopH0y,pop
5O30nI9WzhHuxqFZqReBQu,funk
1mvpEXClANunyiHFtAXCxt,funk
4MQAbRFF5xtTAIYG8jzfZm,funk
6sEfX6ntbBxeWBLggUMyyq,pop
3CcA9m1Ivpp5XmLt8SxUpn,pop
2xZOjY3LYFt8mfHuBUOBwF,rock
4vczAVLBVJzhMndKRCsQls,pop
1WOWylyMYTYIkDJmKLeSpQ,pop
39mjWoyHE5RMghSx70h7pI,pop
1lxHE7dVKOVaIjGOIu8svG,pop
1vAwQYTE1k5MBhNsvqphp1,pop
2Dj0euYPa8eiI6Ee5VLBwg,pop
3Q71N3lHz2pijhljCNqOqw,pop
7Cg8hnSsmbfC6fxCykWYrh,pop
5f1C9EB4G4MrxxmWmZP5Wo,trap
5f1C9EB4G4MrxxmWmZP5Wo,rap
5f1C9EB4G4MrxxmWmZP5Wo,pop
5f1C9EB4G4MrxxmWmZP5Wo,hip hop
583wxBpo6S1maGz1bqYekZ,pop
2M8DUpSnqu7TlGxEgjUocd,pop
4v8n02xVhZK4CmdUAuipHn,pop
7JLPN5CklYCRotAvFGw4Q1,pop
1UUQq3z2RCIqSE1eiP00Jv,trap
1UUQq3z2RCIqSE1eiP00Jv,rap
1UUQq3z2RCIqSE1eiP00Jv,pop
556XyBuO17TCo0Bviw5nCW,trap
556XyBuO17TCo0Bviw5nCW,rap
556XyBuO17TCo0Bviw5nCW,pop
27m6NrJXMbLGlkoGBUy2IV,pop
27m6NrJXMbLGlkoGBUy2IV,hip hop
4oopAFtLdKXCoq2XoEjDZD,pop
4oopAFtLdKXCoq2XoEjDZD,hip hop
5M7RMcbgYy45XzC51HU355,pop
4AZihrM3P96d5mA9kvsxxH,pop
5amPFw5XVlNzP7uSKBXtai,pop
6NtH0d4qlaU5FakRdrdNwq,pop
4aPsL8sPDTXIR11gYfAb0i,pop
4aPsL8sPDTXIR11gYfAb0i,rock
696J4fiOALx5ifVKv10VbK,pop
29Hsg37sCbjeeCdDA0HIgt,pop
4FTXvsvz433gZR67rhxFfN,pop
1cqkZpQniJhO3wvhxqVz54,pop
12a4KgFut39rBB8WjeN2oL,pop
5mNFpEfI0KApCz2Y88LYW6,pop
2lKSCvxuWDRCyImWLIXqre,pop
64KEffDW9EtZ1y2vBYgq8T,pop
64KEffDW9EtZ1y2vBYgq8T,house
3oSJ7TBVCWMDMiYjXNiCKE,country
718COspgdWOnwOFpJHRZHS,country
4GGfAshSkqoxpZdoaHm7ky,pop
4GGfAshSkqoxpZdoaHm7ky,country
4Gso3d4CscCijv0lmajZWs,rap
2hlmm7s2ICUX0LVIhVFlZQ,trap
2hlmm7s2ICUX0LVIhVFlZQ,rap
2hlmm7s2ICUX0LVIhVFlZQ,hip hop
1QcutbFtA6u8A2ZFTZuLSL,trap
1QcutbFtA6u8A2ZFTZuLSL,rap
7hwlbJCUBQksiqlloB6x9K,cumbia
2OEZ0KKJrKXsRQ6hU9bbfS,trap
2OEZ0KKJrKXsRQ6hU9bbfS,rap
0x5lhIYknBUEozHuXjkwUs,drill
22QaKKmBIH3QiotuG30W3o,cumbia
6w9ToX5slZ4uIdmD17hJ3c,trap
6w9ToX5slZ4uIdmD17hJ3c,rap
