artists,followers,genres,name,popularity
3eVa5w3URK5duf6eyVDbu9,8154674,k-pop,ROSÃ‰,85
0du5cEVh5yTK9QJze8zA0C,62697388,"dance pop, pop",Bruno Mars,96
74KM79TiuVKeVCqs8QtB0B,15324033,pop,Sabrina Carpenter,94
6qqNVTkY8uBg9cP3Jd7DAH,102709727,"art pop, pop",Billie Eilish,96
1HY2Jd0NmPuamShAr6KMms,32936218,"art pop, dance pop, pop",Lady Gaga,92
3y2cIKLjiOlp1Np37WiUdH,806021,"modern country pop, pop rap",Shaboozey,80
22wbnEMDvgVIAGdFeek6ET,3970001,singer-songwriter pop,Benson Boone,86
1iCnM8foFssWlPRLfAbIwo,545689,bedroom pop,Gigi Perez,81
7GlBOeep6PqTfFi59PTUUN,3993314,indie pop,Chappell Roan,88
4gzpq5DPGxSnKTe4SA8HAU,54871112,"permanent wave, pop",Coldplay,91
246dkjvS1zLTtiykXe5h60,45862726,"dfw rap, melodic rap, pop, rap",Post Malone,91
4oUHIQIBe0LHzYfvXNW4QM,11184687,contemporary country,Morgan Wallen,90
1Xyo4u8uXC1ZmMpatF05PJ,94962172,"canadian contemporary r&b, canadian pop, pop",The Weeknd,96
699OTQXzgjhIYAHMy9RyPD,12328949,"atl hip hop, plugg, pluggnb, rage rap, rap",Playboi Carti,90
7Ez6lTtSMjMf2YSYpukP1I,259548,,Dasha,75
33qOK5uJ8AR2xuQQAhHump,3446695,,Teddy Swims,87
4tuJ0bMpJh08umKkEXKUI5,3206313,alt z,Gracie Abrams,90
2FXC3k01G6Gw61bmprjgqS,8083868,"irish singer-songwriter, modern rock, pop, pov: indie",Hozier,86
69GGBxA162lTqCwzJG5jLp,20644112,pop,The Chainsmokers,83
3bO19AOone0ubCsfDXDtYt,822438,singer-songwriter pop,Myles Smith,80
2RQXRUsr4IW1f3mKyKsy4B,3580249,"pov: indie, singer-songwriter pop",Noah Kahan,86
40ZNYROS4zLfyyBSs2PGe2,5562207,classic oklahoma country,Zach Bryan,90
2tIP7SsRs7vjIcLrU85W8J,5863084,australian hip hop,The Kid LAROI,85
70kkdajctXSbqSMJbQO424,1505234,"classic texas country, contemporary country, country dawn",Kacey Musgraves,77
2sil8z5kiy4r76CRTXxBCA,3005911,"neo mellow, permanent wave, pop rock, post-grunge",The Goo Goo Dolls,76
4V8LLVI7PbaPR0K2TGSxFF,17897638,"hip hop, rap","Tyler, The Creator",95
20wkVLutqVOYrc0kxFs7rA,7292990,canadian contemporary r&b,Daniel Caesar,87
0Y5tJX1MQlPlqiwlOH1tJY,34703382,"rap, slap house",Travis Scott,94
0C0XlULifJtAgn6ZNCW2eu,7563114,"alternative rock, dance rock, modern rock, permanent wave, rock",The Killers,79
6kbR2eL4hecj3rFwGOsYsI,23555,,BL3SS,70
20rKUmFZsfv9GBXiv6R9d6,20120,,CamrinWatsin,71
2UNjfzEkfsdWVDwnuD6vdH,3760,,bbyclose,70
4j96cMcT8GRi11qbvo1cLQ,203337,,Michael Marcagi,73
08GQAI4eElDnROBrJRGE0X,12331601,"album rock, classic rock, rock, soft rock, yacht rock",Fleetwood Mac,83
10exVja0key0uqUkk6LJRT,3212218,"folk-pop, modern rock",Vance Joy,78
25uiPmTg16RbhZWAqwLBy5,4464342,"art pop, candy pop, metropopolis, pop, uk pop",Charli xcx,87
06HL4z0CvFAxyc27GXpf02,126653193,pop,Taylor Swift,100
4gvjmrtzydbMpyJaXUtwvP,501399,social media pop,Addison Rae,76
1WaFQSHVGZQJTbf0BdxdNo,765305,chill abstract hip hop,Tommy Richman,78
0PCCGZ0wGLizHt2KZ7hhA2,1006806,,Artemas,79
